2018-02-28T13:46:46.596+0800 I CONTROL  [initandlisten] MongoDB starting : pid=29077 port=27006 dbpath=/usr/local/mongo-cluster-sharding/shards/node6/data/db 64-bit host=kieren.local
2018-02-28T14:04:49.662+0800 I STORAGE  [replication-0] The size storer reports that the oplog contains 0 records totaling to 0 bytes
2018-02-28T14:04:49.662+0800 I STORAGE  [replication-0] Scanning the oplog to determine where to place markers for truncation
2018-02-28T14:04:49.893+0800 I REPL     [replication-0] ******
2018-02-28T14:04:49.893+0800 I ASIO     [NetworkInterfaceASIO-RS-0] Connecting to 127.0.0.1:27004
2018-02-28T14:04:49.895+0800 I ASIO     [NetworkInterfaceASIO-RS-0] Successfully connected to 127.0.0.1:27004, took 2ms (1 connections now open to 127.0.0.1:27004)
2018-02-28T14:04:49.896+0800 I ASIO     [NetworkInterfaceASIO-RS-0] Connecting to 127.0.0.1:27004
2018-02-28T14:04:49.896+0800 I ASIO     [NetworkInterfaceASIO-RS-0] Successfully connected to 127.0.0.1:27004, took 0ms (2 connections now open to 127.0.0.1:27004)
2018-02-28T14:04:49.897+0800 I REPL     [replication-1] CollectionCloner::start called, on ns:admin.system.version
2018-02-28T14:04:49.968+0800 I INDEX    [InitialSyncInserters-admin.system.version0] build index on: admin.system.version properties: { v: 2, key: { version: 1 }, name: "incompatible_with_version_32", ns: "admin.system.version" }
2018-02-28T14:04:49.969+0800 I INDEX    [InitialSyncInserters-admin.system.version0] 	 building index using bulk method; build may temporarily use up to 500 megabytes of RAM
2018-02-28T14:04:50.005+0800 I INDEX    [InitialSyncInserters-admin.system.version0] build index on: admin.system.version properties: { v: 1, key: { _id: 1 }, name: "_id_", ns: "admin.system.version" }
2018-02-28T14:04:50.005+0800 I INDEX    [InitialSyncInserters-admin.system.version0] 	 building index using bulk method; build may temporarily use up to 500 megabytes of RAM
2018-02-28T14:04:50.007+0800 I COMMAND  [InitialSyncInserters-admin.system.version0] setting featureCompatibilityVersion to 3.4
2018-02-28T14:04:50.323+0800 I REPL     [replication-1] No need to apply operations. (currently at { : Timestamp 1519797887000|1 })
2018-02-28T14:04:50.323+0800 I ASIO     [NetworkInterfaceASIO-RS-0] Ending connection to host 127.0.0.1:27004 due to bad connection status; 1 connections to that host remain open
2018-02-28T14:04:50.323+0800 I REPL     [replication-1] Finished fetching oplog during initial sync: CallbackCanceled: Callback canceled. Last fetched optime and hash: { ts: Timestamp 1519797887000|1, t: -1 }[-712100044921353581]
2018-02-28T14:04:50.323+0800 I REPL     [replication-1] Initial sync attempt finishing up.
2018-02-28T14:04:50.323+0800 I REPL     [replication-1] Initial Sync Attempt Statistics: { failedInitialSyncAttempts: 0, maxFailedInitialSyncAttempts: 10, initialSyncStart: new Date(1519797889523), initialSyncAttempts: [], fetchedMissingDocs: 0, appliedOps: 0, initialSyncOplogStart: Timestamp 1519797887000|1, initialSyncOplogEnd: Timestamp 1519797887000|1, databases: { databasesCloned: 1, admin: { collections: 1, clonedCollections: 1, start: new Date(1519797889896), end: new Date(1519797890322), elapsedMillis: 426, admin.system.version: { documentsToCopy: 1, documentsCopied: 1, indexes: 2, fetchedBatches: 1, start: new Date(1519797889897), end: new Date(1519797890322), elapsedMillis: 425 } } } }
2018-02-28T14:04:50.374+0800 I REPL     [replication-1] initial sync done; took 0s.
2018-02-28T14:04:50.374+0800 I REPL     [replication-1] Starting replication fetcher thread
2018-02-28T14:04:50.374+0800 I REPL     [replication-1] Starting replication applier thread
2018-02-28T14:04:50.374+0800 I REPL     [replication-1] Starting replication reporter thread
2018-02-28T14:04:50.374+0800 I REPL     [rsSync] transition to RECOVERING
2018-02-28T14:04:50.375+0800 I REPL     [rsBackgroundSync] could not find member to sync from
2018-02-28T14:04:50.375+0800 I REPL     [rsSync] transition to SECONDARY
2018-02-28T14:04:50.375+0800 I REPL     [ReplicationExecutor] Member 127.0.0.1:27005 is now in state SECONDARY
2018-02-28T14:04:58.133+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:64727 #5 (3 connections now open)
2018-02-28T14:04:58.133+0800 I NETWORK  [conn5] received client metadata from 127.0.0.1:64727 conn5: { driver: { name: "NetworkInterfaceASIO-Replication", version: "3.4.7" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "15.3.0" } }
2018-02-28T14:04:58.140+0800 I -        [conn2] end connection 127.0.0.1:64694 (3 connections now open)
2018-02-28T14:05:00.377+0800 I REPL     [ReplicationExecutor] Member 127.0.0.1:27004 is now in state PRIMARY
2018-02-28T14:05:00.405+0800 I REPL     [rsBackgroundSync] sync source candidate: 127.0.0.1:27004
2018-02-28T14:05:00.406+0800 I ASIO     [NetworkInterfaceASIO-RS-0] Connecting to 127.0.0.1:27004
2018-02-28T14:05:00.407+0800 I ASIO     [NetworkInterfaceASIO-RS-0] Successfully connected to 127.0.0.1:27004, took 1ms (2 connections now open to 127.0.0.1:27004)
2018-02-28T14:24:24.273+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:50429 #6 (3 connections now open)
2018-02-28T14:24:24.277+0800 I NETWORK  [conn6] received client metadata from 127.0.0.1:50429 conn6: { driver: { name: "MongoDB Internal Client", version: "3.4.7" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "15.3.0" } }
2018-02-28T14:24:24.379+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:50432 #7 (4 connections now open)
2018-02-28T14:24:24.380+0800 I NETWORK  [conn7] received client metadata from 127.0.0.1:50432 conn7: { driver: { name: "MongoDB Internal Client", version: "3.4.7" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "15.3.0" } }
2018-02-28T14:24:45.372+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:50483 #8 (5 connections now open)
2018-02-28T14:24:45.372+0800 I NETWORK  [conn8] received client metadata from 127.0.0.1:50483 conn8: { driver: { name: "MongoDB Internal Client", version: "3.4.7" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "15.3.0" } }
2018-02-28T14:24:50.461+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:50494 #9 (6 connections now open)
2018-02-28T14:24:50.461+0800 I NETWORK  [conn9] received client metadata from 127.0.0.1:50494 conn9: { driver: { name: "MongoDB Internal Client", version: "3.4.7" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "15.3.0" } }
2018-02-28T16:25:34.505+0800 I ASIO     [NetworkInterfaceASIO-RS-0] Ending connection to host 127.0.0.1:27004 due to bad connection status; 1 connections to that host remain open
2018-02-28T16:25:34.505+0800 I -        [conn5] end connection 127.0.0.1:64727 (6 connections now open)
2018-02-28T16:25:34.505+0800 I REPL     [replication-0] Restarting oplog query due to error: HostUnreachable: End of file. Last fetched optime (with hash): { ts: Timestamp 1519806332000|1, t: 1 }[-1466422526396591816]. Restarts remaining: 3
2018-02-28T16:25:34.507+0800 I ASIO     [NetworkInterfaceASIO-RS-0] Failed to close stream: Socket is not connected
2018-02-28T16:25:34.507+0800 I ASIO     [replication-0] dropping unhealthy pooled connection to 127.0.0.1:27004
2018-02-28T16:25:34.507+0800 I ASIO     [replication-0] after drop, pool was empty, going to spawn some connections
2018-02-28T16:25:34.507+0800 I ASIO     [replication-0] Failed to close stream: Socket is not connected
2018-02-28T16:25:34.507+0800 I ASIO     [NetworkInterfaceASIO-RS-0] Connecting to 127.0.0.1:27004
2018-02-28T16:25:34.507+0800 I REPL     [replication-0] Scheduled new oplog query Fetcher source: 127.0.0.1:27004 database: local query: { find: "oplog.rs", filter: { ts: { $gte: Timestamp 1519806332000|1 } }, tailable: true, oplogReplay: true, awaitData: true, maxTimeMS: 60000, term: 1 } query metadata: { $replData: 1, $oplogQueryData: 1, $ssm: { $secondaryOk: true } } active: 1 timeout: 65000ms shutting down?: 0 first: 1 firstCommandScheduler: RemoteCommandRetryScheduler request: RemoteCommand 27026 -- target:127.0.0.1:27004 db:local cmd:{ find: "oplog.rs", filter: { ts: { $gte: Timestamp 1519806332000|1 } }, tailable: true, oplogReplay: true, awaitData: true, maxTimeMS: 60000, term: 1 } active: 1 callbackHandle.valid: 1 callbackHandle.cancelled: 0 attempt: 1 retryPolicy: RetryPolicyImpl maxAttempts: 1 maxTimeMillis: -1ms
2018-02-28T16:25:34.507+0800 I ASIO     [NetworkInterfaceASIO-RS-0] Failed to connect to 127.0.0.1:27004 - HostUnreachable: Connection refused
2018-02-28T16:25:34.507+0800 I ASIO     [NetworkInterfaceASIO-RS-0] Dropping all pooled connections to 127.0.0.1:27004 due to failed operation on a connection
2018-02-28T16:25:34.508+0800 I REPL     [replication-1] Restarting oplog query due to error: HostUnreachable: Connection refused. Last fetched optime (with hash): { ts: Timestamp 1519806332000|1, t: 1 }[-1466422526396591816]. Restarts remaining: 2
2018-02-28T16:25:34.508+0800 I ASIO     [NetworkInterfaceASIO-RS-0] Connecting to 127.0.0.1:27004
2018-02-28T16:25:34.508+0800 I REPL     [replication-1] Scheduled new oplog query Fetcher source: 127.0.0.1:27004 database: local query: { find: "oplog.rs", filter: { ts: { $gte: Timestamp 1519806332000|1 } }, tailable: true, oplogReplay: true, awaitData: true, maxTimeMS: 60000, term: 1 } query metadata: { $replData: 1, $oplogQueryData: 1, $ssm: { $secondaryOk: true } } active: 1 timeout: 65000ms shutting down?: 0 first: 1 firstCommandScheduler: RemoteCommandRetryScheduler request: RemoteCommand 27028 -- target:127.0.0.1:27004 db:local cmd:{ find: "oplog.rs", filter: { ts: { $gte: Timestamp 1519806332000|1 } }, tailable: true, oplogReplay: true, awaitData: true, maxTimeMS: 60000, term: 1 } active: 1 callbackHandle.valid: 1 callbackHandle.cancelled: 0 attempt: 1 retryPolicy: RetryPolicyImpl maxAttempts: 1 maxTimeMillis: -1ms
2018-02-28T16:25:34.508+0800 I ASIO     [NetworkInterfaceASIO-RS-0] Failed to connect to 127.0.0.1:27004 - HostUnreachable: Connection refused
2018-02-28T16:25:34.508+0800 I ASIO     [NetworkInterfaceASIO-RS-0] Dropping all pooled connections to 127.0.0.1:27004 due to failed operation on a connection
2018-02-28T16:25:34.508+0800 I REPL     [replication-0] Restarting oplog query due to error: HostUnreachable: Connection refused. Last fetched optime (with hash): { ts: Timestamp 1519806332000|1, t: 1 }[-1466422526396591816]. Restarts remaining: 1
2018-02-28T16:25:34.508+0800 I ASIO     [NetworkInterfaceASIO-RS-0] Connecting to 127.0.0.1:27004
2018-02-28T16:25:34.508+0800 I REPL     [replication-0] Scheduled new oplog query Fetcher source: 127.0.0.1:27004 database: local query: { find: "oplog.rs", filter: { ts: { $gte: Timestamp 1519806332000|1 } }, tailable: true, oplogReplay: true, awaitData: true, maxTimeMS: 60000, term: 1 } query metadata: { $replData: 1, $oplogQueryData: 1, $ssm: { $secondaryOk: true } } active: 1 timeout: 65000ms shutting down?: 0 first: 1 firstCommandScheduler: RemoteCommandRetryScheduler request: RemoteCommand 27030 -- target:127.0.0.1:27004 db:local cmd:{ find: "oplog.rs", filter: { ts: { $gte: Timestamp 1519806332000|1 } }, tailable: true, oplogReplay: true, awaitData: true, maxTimeMS: 60000, term: 1 } active: 1 callbackHandle.valid: 1 callbackHandle.cancelled: 0 attempt: 1 retryPolicy: RetryPolicyImpl maxAttempts: 1 maxTimeMillis: -1ms
2018-02-28T16:25:34.508+0800 I ASIO     [NetworkInterfaceASIO-RS-0] Failed to connect to 127.0.0.1:27004 - HostUnreachable: Connection refused
2018-02-28T16:25:34.508+0800 I ASIO     [NetworkInterfaceASIO-RS-0] Dropping all pooled connections to 127.0.0.1:27004 due to failed operation on a connection
2018-02-28T16:25:34.508+0800 I REPL     [replication-1] Error returned from oplog query (no more query restarts left): HostUnreachable: Connection refused
2018-02-28T16:25:34.508+0800 W REPL     [rsBackgroundSync] Fetcher stopped querying remote oplog with error: HostUnreachable: Connection refused
2018-02-28T16:25:34.508+0800 I REPL     [rsBackgroundSync] could not find member to sync from
2018-02-28T16:25:34.509+0800 I ASIO     [ReplicationExecutor] dropping unhealthy pooled connection to 127.0.0.1:27004
2018-02-28T16:25:34.509+0800 I ASIO     [ReplicationExecutor] after drop, pool was empty, going to spawn some connections
2018-02-28T16:25:34.509+0800 I ASIO     [ReplicationExecutor] Failed to close stream: Socket is not connected
2018-02-28T16:25:34.509+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to 127.0.0.1:27004
2018-02-28T16:25:34.509+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to 127.0.0.1:27004 - HostUnreachable: Connection refused
2018-02-28T16:25:34.509+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Dropping all pooled connections to 127.0.0.1:27004 due to failed operation on a connection
2018-02-28T16:25:34.509+0800 I REPL     [ReplicationExecutor] Error in heartbeat request to 127.0.0.1:27004; HostUnreachable: Connection refused
2018-02-28T16:25:34.509+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to 127.0.0.1:27004
2018-02-28T16:25:34.509+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to 127.0.0.1:27004 - HostUnreachable: Connection refused
2018-02-28T16:25:34.509+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Dropping all pooled connections to 127.0.0.1:27004 due to failed operation on a connection
2018-02-28T16:25:34.509+0800 I REPL     [ReplicationExecutor] Error in heartbeat request to 127.0.0.1:27004; HostUnreachable: Connection refused
2018-02-28T16:25:34.509+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to 127.0.0.1:27004
2018-02-28T16:25:34.510+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to 127.0.0.1:27004 - HostUnreachable: Connection refused
2018-02-28T16:25:34.510+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Dropping all pooled connections to 127.0.0.1:27004 due to failed operation on a connection
2018-02-28T16:25:34.510+0800 I REPL     [ReplicationExecutor] Error in heartbeat request to 127.0.0.1:27004; HostUnreachable: Connection refused
2018-02-28T16:25:37.632+0800 I REPL     [SyncSourceFeedback] SyncSourceFeedback error sending update to 127.0.0.1:27004: InvalidSyncSource: Sync source was cleared. Was 127.0.0.1:27004
2018-02-28T16:25:39.005+0800 I -        [conn4] end connection 127.0.0.1:64701 (5 connections now open)
2018-02-28T16:25:39.512+0800 I ASIO     [ReplicationExecutor] dropping unhealthy pooled connection to 127.0.0.1:27005
2018-02-28T16:25:39.512+0800 I ASIO     [ReplicationExecutor] after drop, pool was empty, going to spawn some connections
2018-02-28T16:25:39.512+0800 I ASIO     [ReplicationExecutor] Failed to close stream: Socket is not connected
2018-02-28T16:25:39.512+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to 127.0.0.1:27005
2018-02-28T16:25:39.512+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to 127.0.0.1:27004
2018-02-28T16:25:39.512+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to 127.0.0.1:27005 - HostUnreachable: Connection refused
2018-02-28T16:25:39.512+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Dropping all pooled connections to 127.0.0.1:27005 due to failed operation on a connection
2018-02-28T16:25:39.512+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to 127.0.0.1:27004 - HostUnreachable: Connection refused
2018-02-28T16:25:39.512+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Dropping all pooled connections to 127.0.0.1:27004 due to failed operation on a connection
2018-02-28T16:25:39.512+0800 I REPL     [ReplicationExecutor] Error in heartbeat request to 127.0.0.1:27005; HostUnreachable: Connection refused
2018-02-28T16:25:39.512+0800 I REPL     [ReplicationExecutor] Error in heartbeat request to 127.0.0.1:27004; HostUnreachable: Connection refused
2018-02-28T16:25:39.512+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to 127.0.0.1:27005
2018-02-28T16:25:39.512+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to 127.0.0.1:27004
2018-02-28T16:25:39.513+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to 127.0.0.1:27005 - HostUnreachable: Connection refused
2018-02-28T16:25:39.513+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Dropping all pooled connections to 127.0.0.1:27005 due to failed operation on a connection
2018-02-28T16:25:39.513+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to 127.0.0.1:27004 - HostUnreachable: Connection refused
2018-02-28T16:25:39.513+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Dropping all pooled connections to 127.0.0.1:27004 due to failed operation on a connection
2018-02-28T16:25:39.513+0800 I REPL     [ReplicationExecutor] Error in heartbeat request to 127.0.0.1:27005; HostUnreachable: Connection refused
2018-02-28T16:25:39.513+0800 I REPL     [ReplicationExecutor] Error in heartbeat request to 127.0.0.1:27004; HostUnreachable: Connection refused
2018-02-28T16:25:39.513+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to 127.0.0.1:27005
2018-02-28T16:25:39.513+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to 127.0.0.1:27004
2018-02-28T16:25:39.513+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to 127.0.0.1:27005 - HostUnreachable: Connection refused
2018-02-28T16:25:39.513+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Dropping all pooled connections to 127.0.0.1:27005 due to failed operation on a connection
2018-02-28T16:25:39.513+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to 127.0.0.1:27004 - HostUnreachable: Connection refused
2018-02-28T16:25:39.513+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Dropping all pooled connections to 127.0.0.1:27004 due to failed operation on a connection
2018-02-28T16:25:39.513+0800 I REPL     [ReplicationExecutor] Error in heartbeat request to 127.0.0.1:27005; HostUnreachable: Connection refused
2018-02-28T16:25:39.513+0800 I REPL     [ReplicationExecutor] Error in heartbeat request to 127.0.0.1:27004; HostUnreachable: Connection refused
